"name","imageurl","year"
"Edmund Barton","/Images/Edmund_Barton_small_tcm13-20384.jpg","1901–03"
"Alfred Deakin","/Images/alfred%20deakin%20-%20medium_tcm13-20362.jpg","1903–04"
"Alfred Deakin","/Images/alfred%20deakin%20-%20medium_tcm13-20362.jpg","1905–08"
"Alfred Deakin","/Images/alfred%20deakin%20-%20medium_tcm13-20362.jpg","1909–10"
"Chris Watson","/Images/watson_tcm13-20377.jpg","1904"
"George Reid","/Images/gr_tcm13-20392.jpg","1904–05"
"Andrew Fisher","/Images/andrewfischer_tcm13-20365.jpg","1908–09"
"Andrew Fisher","/Images/andrewfischer_tcm13-20365.jpg","1910–13"
"Andrew Fisher","/Images/andrewfischer_tcm13-20365.jpg","1914–15"
"Joseph Cook","/Images/cook_tcm13-20424.jpg","1913–14"
"William Morris Hughes","/Images/hughes_tcm13-20460.jpg","1915–23"
"Stanley Melbourne Bruce","/Images/bruce_tcm13-20452.jpg","1923–29"
"James Scullin","/Images/scullin_tcm13-20404.jpg","1929–32"
"Joseph Lyons","/Images/lyons_tcm13-20428.jpg","1932–39"
"Earle Page","/Images/page_tcm13-20380.jpg","1939"
"Robert Menzies","/Images/menzies_tcm13-20448.jpg","1939–41"
"Robert Menzies","/Images/menzies_tcm13-20448.jpg","1949–66"
"Arthur Fadden","/Images/fadden_tcm13-20369.jpg","1941"
"John Curtin","/Images/profile_tcm13-20408.jpg","1941–45"
"Francis Forde","/Images/forde_tcm13-20388.jpg","1945"
"Ben Chifley","/Images/chifley_tcm13-20373.jpg","1945–49"
"Harold Holt","/Images/Holt_image_tcm13-20400.jpg","1966–67"
"John McEwen","/Images/mcewen_tcm13-20420.jpg","1967–68"
"John Gorton","/Images/gorton_tcm13-20412.jpg","1968–71"
"William McMahon","/Images/mcmahon_tcm13-20456.jpg","1971–72"
"Gough Whitlam","/Images/profile_tcm13-20396.jpg","1972–75"
"Malcolm Fraser","/Images/fraser_tcm13-20436.jpg","1975–83"
"Robert Hawke","/Images/hawke_tcm13-20444.jpg","1983–91"
"Paul Keating","/Images/keating_tcm13-20440.jpg","1991–96"
"John Howard","/Images/howard_tcm13-20416.jpg","1996–2007"
"Kevin Rudd","/Images/rudd_tcm13-20432.jpg","2007–10"
"Kevin Rudd","/Images/rudd_tcm13-20432.jpg","2013"
"Julia Gillard","/Images/110px%20Gillard%20-%20B%26W_tcm13-32329.jpg","2010–13"
"Tony Abbott","/Images/Tony-Abbott-110px-B%26W_tcm13-77296.jpg","2013–"
