img,Name,Party,Period in office,Length of term
GeorgeReid.jpg,"Reid, George Houstoun",FT,09.05.1901 – 18.08.1904,"3 yrs, 3 mths, 10 days"
ChrisWatson.jpg,"Watson, John Christian",ALP,18.08.1904 – 05.07.1905,"10 mths, 18 days"
GeorgeReid.jpg,"Reid, George Houstoun",FT,07.07.1905 – 16.11.1908,"3 yrs, 4 mths, 10 days"
JosephCook.jpg,"Cook, Joseph",ANTI-SOC,17.11.1908 – 26.05.1909,"6 mths, 10 days"
AlfredDeakin.jpg,"Deakin, Alfred",FUSION,26.05.1909 – 02.06.1909,8 days
AndrewFisher.jpg,"Fisher, Andrew",ALP,02.06.1909 – 29.04.1910,"10 mths, 28 days"
AlfredDeakin.jpg,"Deakin, Alfred",LIB,01.07.1910 – 20.01.1913,"2 yrs, 6 mths, 20 days"
JosephCook.jpg,"Cook, Joseph",LIB,20.01.1913 – 24.06.1913,"5 mths, 5 days"
AndrewFisher.jpg,"Fisher, Andrew",ALP,08.07.1913 – 17.09.1914,"1 yr, 2 mths, 10 days"
JosephCook.jpg,"Cook, Joseph",LIB,08.10.1914 – 17.02.1917,"2 yrs, 4 mths, 10 days"
"Tudor, Frank Gwynne",ALP,17.02.1917 – 10.01.1922,"4 yrs, 10 mths, 25 days"
"Charlton, Matthew",ALP,16.05.1922 – 29.03.1928,"5 yrs, 10 mths, 14 days"
JamesScullin.jpg,"Scullin, James Henry",ALP,26.04.1928 – 22.10.1929,"1 yr, 5 mths, 27 days"
"Latham, John Greig",NAT,20.11.1929 – 07.05.1931,"1 yr, 5 mths, 18 days"
JosephLyons.jpg,"Lyons, Joseph Aloysius",UAP,07.05.1931 – 06.01.1932,9 mths
JamesScullin.jpg,"Scullin, James Henry",ALP,07.01.1932 – 01.10.1935,"3 yrs, 8 mths, 25 days"
JohnCurtin.jpg,"Curtin, John",ALP,01.10.1935 – 07.10.1941,"6 yrs, 7 days"
ArthurFadden.jpg,"Fadden, Arthur William",CP,08.10.1941 – 23.09.1943,"1 yr, 11 mths, 16 days"
RobertMenzies.jpg,"Menzies, Robert Gordon",UAP/LIB*,23.09.1943 – 19.12.1949,"6 yrs, 2 mths, 27 days"
BenChifley.jpg,"Chifley, Joseph Benedict",ALP,21.02.1950 – 13.06.1951,"1 yrs, 3 mths, 24 days"
"Evatt, Herbert Vere",ALP,20.06.1951 – 09.02.1960,"8 yrs, 7 mths, 21 days"
"Calwell, Arthur Augustus",ALP,07.03.1960 – 08.02.1967,"6 yrs, 11 mths, 2 days"
GoughWhitlam.jpg,"Whitlam, Edward Gough",ALP,08.02.1967 – 05.12.1972,"5 yrs, 9 mths, 28 days"
"Snedden, Billy Mackie",LP,20.12.1972 – 21.03.1975,"2 yrs, 3 mths, 2 days"
MalcolmFraser.jpg,"Fraser, John Malcolm",LP,21.03.1975 – 11.11.1975,"7 mths, 22 days"
GoughWhitlam.jpg,"Whitlam, Edward Gough",ALP,27.01.1976 – 22.12.1977,"1 yr, 10 mths, 26 days"
"Hayden, William George",ALP,22.12.1977 – 03.02.1983,"5 yrs, 1 mths, 13 days"
RobertHawke.jpg,"Hawke, Robert James Lee",ALP,03.02.1983 – 11.03.1983,"1 mth, 9 days"
"Peacock, Andrew Sharp",LP,11.03.1983 – 05.09.1985,"2 yrs, 5 mths, 26 days"
JohnHoward.jpg,"Howard, John Winston",LP,05.09.1985 – 09.05.1989,"3 yrs, 8 mths, 5 days"
"Peacock, Andrew Sharp",LP,09.05.1989 – 03.04.1990,"10 mths, 26 days"
"Hewson, John Robert",LP,03.04.1990 – 23.05.1994,"4 yrs, 1 mth, 21 days"
"Downer, Alexander John Gosse",LP,23.05.1994 – 30.01.1995,"8 mths, 8 days"
JohnHoward.jpg,"Howard, John Winston",LP,30.01.1995 – 11.03.1996,"1 yr, 1 mth, 12 days"
"Beazley, Kim Christian",ALP,19.03.1996 – 22.11.2001,"5 yrs, 8 mths, 3 days."
"Crean, Simon",ALP,22.11.2001 – 02.12.2003,"1 year, 11 mths, 10 days"
"Latham, Mark William",ALP,02.12.2003 – 18.01.2005,"1 year, 1 month, 16 days"
"Beazley, Kim Christian",ALP,28.01.2005 – 04.12.2006,"1 year, 10 months, 6 days"
KevinRudd.jpg,"Rudd, Kevin",ALP,04.12.2006 – 03.12.2007,"11 mths, 29 days"
"Nelson, Brendan",LP,03.12.2007 – 16.09.2008,"9 mths, 13 days"
"Turnbull, Malcolm",LP,16.09.2008 – 01.12.2009,"1 year, 2 months, 15 days"
TonyAbbott.jpg,"Abbott, Tony",LP,01.12.2009 – 18.09.2013,"3 years, 9 months, 17 days"
"Shorten, Bill",ALP,13.10.2013 – Present, 
